district_id,kecamatan_name,kabupaten_name,provinsi_name,numVisit
7305006,Galesong Utara,Takalar,Sulawesi Selatan,282
1219007,Sei Balai,Batu Bara,Sumatera Utara,280
3671009,Cibodas,Kota Tangerang,Banten,278
3217010,Cihampelas,Bandung Barat,Jawa Barat,278
1209016,Buntu Pane,Asahan,Sumatera Utara,272
3211018,Sumedang Utara,Sumedang,Jawa Barat,270
1207006,Namorambe,Deli Serdang,Sumatera Utara,270
3271001,Bogor Selatan,Kota Bogor,Jawa Barat,265
7309001,Mandai,Maros,Sulawesi Selatan,265
3201015,Ciampea,Bogor,Jawa Barat,260
7309008,Marusu,Maros,Sulawesi Selatan,255
3217002,Parongpong,Bandung Barat,Jawa Barat,253
3273010,Astana Anyar,Kota Bandung,Jawa Barat,253
7308022,Tanete Riattang Barat,Bone,Sulawesi Selatan,251
1272004,Siantar Selatan,Kota Pematangsiantar,Sumatera Utara,245
3171005,Cempaka Putih,Kota Administrasi Jakarta Pusat,DKI Jakarta,244
7271006,Tatanga,Kota Palu,Sulawesi Tengah,244
5171002,Denpasar Timur,Kota Denpasar,Bali,242
1208001,Siantar,Simalungun,Sumatera Utara,238
7310004,Pangkajene,Pangkajene Kepulauan,Sulawesi Selatan,233
3671008,Periuk,Kota Tangerang,Banten,232
1272008,Siantar Marimbun,Kota Pematangsiantar,Sumatera Utara,224
7306002,Bajeng,Gowa,Sulawesi Selatan,217
3201005,Babakan Madang,Bogor,Jawa Barat,216
3273019,Sumur Bandung,Kota Bandung,Jawa Barat,216
1275005,Binjai Selatan,Kota Binjai,Sumatera Utara,213
3671013,Larangan,Kota Tangerang,Banten,211
3217004,Cikalongwetan,Bandung Barat,Jawa Barat,211
3201029,Ciomas,Bogor,Jawa Barat,210
7271002,Palu Barat,Kota Palu,Sulawesi Tengah,210
1209008,Meranti,Asahan,Sumatera Utara,202
3215026,Karawang Timur,Karawang,Jawa Barat,198
5103001,Kuta,Badung,Bali,195
3273012,Batununggal,Kota Bandung,Jawa Barat,195
3216010,Karang Bahagia,Bekasi,Jawa Barat,194
1209013,Air Batu,Asahan,Sumatera Utara,191
3273004,Bojongloa Kaler,Kota Bandung,Jawa Barat,186
1207033,Beringin,Deli Serdang,Sumatera Utara,185
1208023,Bandar,Simalungun,Sumatera Utara,183
3271002,Bogor Timur,Kota Bogor,Jawa Barat,182
3273006,Cicendo,Kota Bandung,Jawa Barat,182
3216011,Cikarang Timur,Bekasi,Jawa Barat,179
1219003,Air Putih,Batu Bara,Sumatera Utara,179
3217001,Lembang,Bandung Barat,Jawa Barat,177
1218002,Perbaungan,Serdang Bedagai,Sumatera Utara,174
7210001,Sigi Biromaru,Sigi,Sulawesi Tengah,173
7371008,Ujung Tanah,Kota Makassar,Sulawesi Selatan,169
1209030,Pulo Bandring,Asahan,Sumatera Utara,169
1219009,Lima Puluh,Batu Bara,Sumatera Utara,168
1219004,Lima Puluh,Batu Bara,Sumatera Utara,168
3211015,Jatinangor,Sumedang,Jawa Barat,167
5171004,Denpasar Utara,Kota Denpasar,Bali,161
3217011,Cililin,Bandung Barat,Jawa Barat,160
3273018,Cibeunying Kaler,Kota Bandung,Jawa Barat,158
3603017,Curug,Tangerang,Banten,154
1274005,Datuk Bandar,Kota Tanjung Balai,Sumatera Utara,153
3273003,Babakan Ciparay,Kota Bandung,Jawa Barat,152
3204013,Banjaran,Bandung,Jawa Barat,152
3603023,Cisauk,Tangerang,Banten,149
1208002,Gunung Malela,Simalungun,Sumatera Utara,149
1208011,Tanah Jawa,Simalungun,Sumatera Utara,147
3203001,Cianjur,Cianjur,Jawa Barat,146
7306013,Pattalasang,Gowa,Sulawesi Selatan,140
7308021,Tanete Riattang,Bone,Sulawesi Selatan,139
3273020,Antapani,Kota Bandung,Jawa Barat,139
3201032,Klapanunggal,Bogor,Jawa Barat,139
3273005,Andir,Kota Bandung,Jawa Barat,136
7326002,Sesean,Toraja Utara,Sulawesi Selatan,136
1219011,Datuk Tanah Datar,Batu Bara,Sumatera Utara,134
1275002,Binjai Kota,Kota Binjai,Sumatera Utara,134
1205007,Stabat,Langkat,Sumatera Utara,134
3275007,Bantargebang,Kota Bekasi,Jawa Barat,129
3217003,Cisarua,Bandung Barat,Jawa Barat,129
1205006,Selesai,Langkat,Sumatera Utara,128
1209012,Simpang Empat,Asahan,Sumatera Utara,127
1171002,Kuta Alam,Kota Banda Aceh,Aceh,127
1171005,Lueng Bata,Kota Banda Aceh,Aceh,126
3217007,Cipatat,Bandung Barat,Jawa Barat,125
3273014,Cibeunying Kidul,Kota Bandung,Jawa Barat,125
1271008,Medan Belawan,Kota Medan,Sumatera Utara,124
3272002,Cikole,Kota Sukabumi,Jawa Barat,122
3204033,Majalaya,Bandung,Jawa Barat,119
1171004,Syiah Kuala,Kota Banda Aceh,Aceh,118
3201007,Cileungsi,Bogor,Jawa Barat,118
1208003,Gunung Maligas,Simalungun,Sumatera Utara,117
1171007,Banda Raya,Kota Banda Aceh,Aceh,116
1219005,Talawi,Batu Bara,Sumatera Utara,114
3671010,Neglasari,Kota Tangerang,Banten,113
1209023,Sei Dadap,Asahan,Sumatera Utara,113
3204016,Arjasari,Bandung,Jawa Barat,112
3215003,Telukjambe Timur,Karawang,Jawa Barat,111
3671002,Jatiuwung,Kota Tangerang,Banten,110
3204005,Cileunyi,Bandung,Jawa Barat,108
3204029,Ciparay,Bandung,Jawa Barat,107
3204039,Ciwidey,Bandung,Jawa Barat,107
3211017,Sumedang Selatan,Sumedang,Jawa Barat,102
3215005,Klari,Karawang,Jawa Barat,99
1272005,Siantar Marihat,Kota Pematangsiantar,Sumatera Utara,97
7271004,Palu Utara,Kota Palu,Sulawesi Tengah,97
3215006,Rengasdengklok,Karawang,Jawa Barat,96
1219012,Nibung Hangus,Batu Bara,Sumatera Utara,93
3204046,Kutawaringin,Bandung,Jawa Barat,92
7309012,Lau,Maros,Sulawesi Selatan,91
3201033,Ciseeng,Bogor,Jawa Barat,90
1208028,Tapian Dolok,Simalungun,Sumatera Utara,89
3215021,Majalaya,Karawang,Jawa Barat,89
1209017,Bandar Pasir Mandoge,Asahan,Sumatera Utara,89
3273030,Mandalajati,Kota Bandung,Jawa Barat,88
3171008,Johar Baru,Kota Administrasi Jakarta Pusat,DKI Jakarta,88
3204017,Cimaung,Bandung,Jawa Barat,87
7206010,Bahodopi,Morowali,Sulawesi Tengah,86
7313006,Tempe,Wajo,Sulawesi Selatan,86
1210009,Bilah Hulu,Labuhanbatu,Sumatera Utara,85
1208004,Panei,Simalungun,Sumatera Utara,85
3272004,Warudoyong,Kota Sukabumi,Jawa Barat,85
3201018,Rumpin,Bogor,Jawa Barat,79
1219002,Sei Suka,Batu Bara,Sumatera Utara,79
1219010,Datuk Lima Puluh,Batu Bara,Sumatera Utara,78
1171001,Baiturrahman,Kota Banda Aceh,Aceh,78
1106010,Ingin Jaya,Aceh Besar,Aceh,78
1171008,Jaya Baru,Kota Banda Aceh,Aceh,76
3603029,Sindang Jaya,Tangerang,Banten,76
3205005,Tarogong Kidul,Garut,Jawa Barat,76
3204034,Solokanjeruk,Bandung,Jawa Barat,74
1209031,Teluk Dalam,Asahan,Sumatera Utara,74
3273028,Panyileukan,Kota Bandung,Jawa Barat,74
3204028,Rancaekek,Bandung,Jawa Barat,72
3202029,Cisaat,Sukabumi,Jawa Barat,72
3201006,Jonggol,Bogor,Jawa Barat,72
1208005,Panombeian Pane,Simalungun,Sumatera Utara,71
3273025,Cibiru,Kota Bandung,Jawa Barat,71
3201025,Cisarua,Bogor,Jawa Barat,70
1106012,Darussalam,Aceh Besar,Aceh,70
3216015,Sukatani,Bekasi,Jawa Barat,70
1208029,Raya,Simalungun,Sumatera Utara,70
1209029,Rawang Panca Arga,Asahan,Sumatera Utara,70
3217012,Cipongkor,Bandung Barat,Jawa Barat,69
3201024,Ciawi,Bogor,Jawa Barat,67
1106007,Darul Imarah,Aceh Besar,Aceh,67
3273008,Cidadap,Kota Bandung,Jawa Barat,67
1208017,Dolok Batu Nanggar,Simalungun,Sumatera Utara,66
3204044,Cangkuang,Bandung,Jawa Barat,65
3603019,Panongan,Tangerang,Banten,64
3217005,Cipeundeuy,Bandung Barat,Jawa Barat,64
1219006,Tanjung Tiram,Batu Bara,Sumatera Utara,63
7271005,Ulujadi,Kota Palu,Sulawesi Tengah,63
1218004,Sei Rampah,Serdang Bedagai,Sumatera Utara,61
1223005,Marbau,Labuhanbatu Utara,Sumatera Utara,61
3603030,Sepatan Timur,Tangerang,Banten,61
1217008,Pangururan,Samosir,Sumatera Utara,61
1274006,Datuk Bandar Timur,Kota Tanjung Balai,Sumatera Utara,60
1219001,Medang Deras,Batu Bara,Sumatera Utara,60
1275003,Binjai Barat,Kota Binjai,Sumatera Utara,59
7271007,Tawaeli,Kota Palu,Sulawesi Tengah,58
7309007,Tanralili,Maros,Sulawesi Selatan,58
1221007,Barumun,Padang Lawas,Sumatera Utara,58
1206001,Kabanjahe,Karo,Sumatera Utara,58
1209014,Pulau Rakyat,Asahan,Sumatera Utara,58
3201034,Ranca Bungur,Bogor,Jawa Barat,57
1207004,Kutalimbaru,Deli Serdang,Sumatera Utara,57
7308014,Ulaweng,Bone,Sulawesi Selatan,57
7326001,Rantepao,Toraja Utara,Sulawesi Selatan,57
3603013,Teluknaga,Tangerang,Banten,56
3204036,Ibun,Bandung,Jawa Barat,56
1276002,Rambutan,Kota Tebing Tinggi,Sumatera Utara,56
3273026,Ujungberung,Kota Bandung,Jawa Barat,56
3201027,Caringin,Bogor,Jawa Barat,55
3215027,Telukjambe Barat,Karawang,Jawa Barat,55
5103005,Kuta Selatan,Badung,Bali,55
1218016,Tebing Syahbandar,Serdang Bedagai,Sumatera Utara,55
7310006,Bungoro,Pangkajene Kepulauan,Sulawesi Selatan,55
1106008,Peukan Bada,Aceh Besar,Aceh,55
1209028,Silau Laut,Asahan,Sumatera Utara,54
3204038,Pasirjambu,Bandung,Jawa Barat,53
1223006,Na IX-X,Labuhanbatu Utara,Sumatera Utara,52
3203007,Karangtengah,Cianjur,Jawa Barat,51
1209026,Tinggi Raja,Asahan,Sumatera Utara,50
5103006,Kuta Utara,Badung,Bali,50
3216018,Setu,Bekasi,Jawa Barat,50
3205004,Tarogong Kaler,Garut,Jawa Barat,50
1274004,Teluk Nibung,Kota Tanjung Balai,Sumatera Utara,50
7310010,Minasa Tene,Pangkajene Kepulauan,Sulawesi Selatan,49
1208006,Jorlang Hataran,Simalungun,Sumatera Utara,49
1171009,Ulee Kareng,Kota Banda Aceh,Aceh,49
3216019,Cikarang Selatan,Bekasi,Jawa Barat,49
3273024,Arcamanik,Kota Bandung,Jawa Barat,47
3211022,Cimalaka,Sumedang,Jawa Barat,47
3603020,Legok,Tangerang,Banten,47
3272005,Baros,Kota Sukabumi,Jawa Barat,46
1208013,Dolok Panribuan,Simalungun,Sumatera Utara,46
3202028,Cicantayan,Sukabumi,Jawa Barat,46
1207019,Galang,Deli Serdang,Sumatera Utara,46
1208021,Pematang Bandar,Simalungun,Sumatera Utara,45
1218015,Sei Bamban,Serdang Bedagai,Sumatera Utara,44
3201026,Megamendung,Bogor,Jawa Barat,44
3204025,Cicalengka,Bandung,Jawa Barat,43
3201003,Citeureup,Bogor,Jawa Barat,43
3671004,Benda,Kota Tangerang,Banten,42
1205005,Binjai,Langkat,Sumatera Utara,41
3603018,Cikupa,Tangerang,Banten,41
3201017,Pamijahan,Bogor,Jawa Barat,41
1218003,Teluk Mengkudu,Serdang Bedagai,Sumatera Utara,40
1205011,Tanjung Pura,Langkat,Sumatera Utara,40
3211014,Cimanggung,Sumedang,Jawa Barat,40
3201014,Leuwiliang,Bogor,Jawa Barat,40
3205009,Leles,Garut,Jawa Barat,39
3216020,Cikarang Pusat,Bekasi,Jawa Barat,39
3215022,Jayakerta,Karawang,Jawa Barat,38
1277002,Padangsidimpuan Selatan,Kota Padang Sidempuan,Sumatera Utara,38
1223001,Kualuh Hulu,Labuhanbatu Utara,Sumatera Utara,38
1276003,Padang Hilir,Kota Tebing Tinggi,Sumatera Utara,38
1171003,Meuraxa,Kota Banda Aceh,Aceh,36
1208016,Girsang Sipangan Bolon,Simalungun,Sumatera Utara,36
3203005,Ciranjang,Cianjur,Jawa Barat,36
7313008,Tanasitolo,Wajo,Sulawesi Selatan,36
3217014,Sindangkerta,Bandung Barat,Jawa Barat,36
1218001,Pantai Cermin,Serdang Bedagai,Sumatera Utara,36
1208010,Pematang Sidamanik,Simalungun,Sumatera Utara,35
3201016,Cibungbulang,Bogor,Jawa Barat,35
1208024,Bandar Masilam,Simalungun,Sumatera Utara,35
1207007,Sibiru-Biru,Deli Serdang,Sumatera Utara,35
3204015,Pangalengan,Bandung,Jawa Barat,34
7305009,Galesong,Takalar,Sulawesi Selatan,34
7310007,Labakkang,Pangkajene Kepulauan,Sulawesi Selatan,34
1209010,Tanjung Balai,Asahan,Sumatera Utara,34
3209014,Talun,Cirebon,Jawa Barat,33
3217015,Gununghalu,Bandung Barat,Jawa Barat,33
1210007,Bilah Barat,Labuhanbatu,Sumatera Utara,32
3324003,Sukorejo,Kendal,Jawa Tengah,32
1276001,Padang Hulu,Kota Tebing Tinggi,Sumatera Utara,32
1219008,Laut Tador,Batu Bara,Sumatera Utara,32
7201008,Bualemo,Banggai,Sulawesi Tengah,32
3215029,Purwasari,Karawang,Jawa Barat,32
3273027,Gedebage,Kota Bandung,Jawa Barat,31
1205004,Sei Bingai,Langkat,Sumatera Utara,31
3603016,Sepatan,Tangerang,Banten,30
1274001,Tanjung Balai Selatan,Kota Tanjung Balai,Sumatera Utara,30
1207032,Pantai Labu,Deli Serdang,Sumatera Utara,30
1208009,Sidamanik,Simalungun,Sumatera Utara,30
3204006,Cimenyan,Bandung,Jawa Barat,29
3201028,Cijeruk,Bogor,Jawa Barat,29
3217016,Saguling,Bandung Barat,Jawa Barat,29
3204027,Cikancung,Bandung,Jawa Barat,29
7201021,Luwuk Utara,Banggai,Sulawesi Tengah,28
1207031,Pagar Merbau,Deli Serdang,Sumatera Utara,28
7308017,Tellu Siattinge,Bone,Sulawesi Selatan,28
1206002,Berastagi,Karo,Sumatera Utara,28
3272006,Lembursitu,Kota Sukabumi,Jawa Barat,27
1211001,Sidikalang,Dairi,Sumatera Utara,26
1208030,Ujung Padang,Simalungun,Sumatera Utara,26
3215017,Telagasari,Karawang,Jawa Barat,26
3201019,Jasinga,Bogor,Jawa Barat,26
3273029,Cinambo,Kota Bandung,Jawa Barat,26
1106021,Krueng Barona Jaya,Aceh Besar,Aceh,25
1207008,Stm Hilir,Deli Serdang,Sumatera Utara,25
3272003,Citamiang,Kota Sukabumi,Jawa Barat,25
1212001,Balige,Toba,Sumatera Utara,25
1277001,Padangsidimpuan Utara,Kota Padang Sidempuan,Sumatera Utara,25
